"id","target_year","h","ok1","ok2","hist_fcst","hist_lower","hist_upper"
36,1982,58.5,TRUE,TRUE,8.82346413932245,7.94996903673765,9.7118838615201
39,1981,6.5,FALSE,FALSE,NA,NA,NA
39,1982,58.5,TRUE,TRUE,7.27703146447969,6.22912052386945,8.2751464011261
40,1981,6.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
40,1982,58.5,TRUE,TRUE,8.66199280119505,7.95000641815378,9.37397918423632
41,1981,6.5,TRUE,TRUE,8.94998753807822,7.4841036578776,10.4158811478566
41,1982,58.5,TRUE,TRUE,11.9500729808302,9.9500682059384,13.4325535530108
42,1981,6.5,TRUE,TRUE,8.76218962326487,8.10559017672824,9.4187890698015
42,1982,58.5,TRUE,TRUE,8.12308252385994,6.6833711613861,9.95006272763802
44,1981,6.5,TRUE,TRUE,8.99596792017812,7.69430819470693,10.1541090224825
44,1982,58.5,TRUE,TRUE,8.99194153113639,7.36892401527735,10.395434928204
47,1981,6.5,FALSE,FALSE,NA,NA,NA
47,1982,58.5,TRUE,TRUE,7.9483934403152,5.95320816132143,9.95326900060539
53,1981,6.5,TRUE,TRUE,8.94997910549867,8.16181353198141,9.73812290451964
53,1982,58.5,TRUE,TRUE,7.06992773665485,6.13550733482022,8.92939775013209
54,1981,6.5,FALSE,FALSE,NA,NA,NA
54,1982,58.5,TRUE,TRUE,8.79422990723194,6.41863685341308,11.1350975818412
58,1981,6.5,TRUE,TRUE,8.94997910549867,8.16181353198141,9.73812290451964
58,1982,58.5,TRUE,TRUE,7.94999398860781,6.84442792699486,9.05556005022076
62,1981,6.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
62,1982,58.5,TRUE,TRUE,7.94999398860781,6.84442792699486,9.05556005022076
63,1981,6.5,TRUE,TRUE,9.32713824378904,8.56588187965311,10.088394607925
63,1982,58.5,TRUE,TRUE,9.3763283409846,7.95007446607038,10.6752309782442
66,1981,6.5,FALSE,FALSE,NA,NA,NA
66,1982,58.5,FALSE,FALSE,NA,NA,NA
67,1981,6.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
67,1982,58.5,TRUE,TRUE,7.94999398860781,6.84442792699486,9.05556005022076
68,1981,6.5,TRUE,TRUE,9.16109958631331,7.94998555555295,10.3257312377526
68,1982,58.5,TRUE,TRUE,7.62644696705274,5.94990868067025,9.03641556240876
69,1981,6.5,TRUE,TRUE,8.9499529780046,7.94995312699702,9.9499316034158
